turns,victory_status,winner,moves
61,mate,white, e2e4 e7e5 d2d3 d7d6 c1e3 c7c6 f1e2 b7b5 b1d2 a7a5 a2a4 c6c5 a4b5 b8c6 b5c6 a8a6 d2c4 a5a4 c2c3 a4a3 c4a3 a6a3 a1a3 c5c4 d3c4 d6d5 c4d5 d8d5 e4d5 c8e6 a3a8 e8e7 e3c5 e7f6 c5f8 f6g6 f8g7 g6g7 d5e6 g7h6 e6f7 g8f6 a8h8 f6h5 e2h5 h6g5 h8h7 g5f5 d1f3 f5e6 h5g4 e6d6 h7h6 d6c5 f3e3 c5b5 c3c4 b5b4 e3c3 b4a4 g4d1
61,mate,white, d2d4 d7d5 g1f3 c8f5 b1c3 g8f6 c1f4 f6g4 e2e3 b8c6 f1e2 d8d7 e1g1 e8c8 c3b5 c6b4 a1c1 b4a2 c1a1 a2b4 b5a7 c8b8 a7b5 f5c2 f4c7 b8c8 d1d2 d7c6 b5a7 c8d7 a7c6 b7c6 c7d8 d7d8 d2b4 e7e5 b4b8 d8e7 d4e5 c2e4 a1a7 e7e6 b8e8 e6f5 e8f7 g4f6 f3h4 f5g5 g2g3 f6g4 f7f4 g5h5 f4g4 h5h6 g4f4 g7g5 f4f6 e4g6 h4g6 f8g7 f6g7
95,mate,white, e2e4 e7e5 g1f3 d7d6 d2d4 b8c6 d4d5 c6b4 a2a3 b4a6 b1c3 f8e7 b2b4 g8f6 c1g5 e8g8 b4b5 a6c5 g5f6 e7f6 f1d3 d8d7 e1g1 c5d3 d1d3 c7c6 a3a4 c6d5 c3d5 d7e6 d5c7 e6g4 c7a8 c8d7 a8c7 f8c8 c7d5 g4g6 d5f6 g6f6 f1d1 c8e8 d3d6 d7g4 d6f6 g7f6 d1d3 g4f3 d3f3 e8d8 f3f6 g8g7 f6f3 d8d2 f3g3 g7f8 c2c3 d2e2 f2f3 e2c2 g3g5 f7f6 g5h5 f8g7 a1d1 g7g6 h5h3 c2c3 d1d7 c3c1 g1f2 c1c2 f2g3 h7h5 d7b7 g6g5 b7a7 h5h4 h3h4 c2g2 g3g2 g5h4 b5b6 h4g5 b6b7 f6f5 e4f5 g5f5 b7b8q e5e4 a7f7 f5g5 b8g8 g5h6 f7h7
5,draw,draw, e2e4 c7c5 g1f3 d8a5 a2a3
119,mate,white, e2e4 d7d5 e4d5 d8d5 b1c3 d5e5 f1e2 b8a6 d2d4 e5f5 e2a6 b7a6 g1f3 f5e6 c1e3 c8b7 f3g5 e6c4 d1h5 b7g2 h5f7 c4f7 g5f7 e8f7 h1g1 g2f3 g1g3 f3h5 g3h3 g7g6 c3e4 g8f6 e4c5 e7e6 c5a6 a8c8 e3f4 h5g4 h3g3 c7c6 a6b4 f8b4 c2c3 b4a5 b2b4 a5c7 f4c7 c8c7 a1b1 e6e5 d4e5 h8e8 f2f4 c7d7 e1f2 d7d2 f2g1 d2a2 e5f6 f7f6 g3g4 f6f5 g4g2 a2g2 g1g2 e8e2 g2f3 e2e4 b1a1 e4f4 f3g3 f4g4 g3h3 h7h5 a1a7 g6g5 a7f7 f5g6 f7f3 g4f4 f3f4 g5f4 h3g2 g6g5 c3c4 h5h4 b4b5 c6b5 c4b5 g5g4 b5b6 f4f3 g2f2 g4f4 b6b7 h4h3 b7b8q f4e4 b8b4 e4d5 f2f3 d5e5 f3g3 e5f6 b4e4 f6g5 e4f3 g5h6 f3g4 h6h7 g4g5 h7h8 g3f4 h8h7 f4f5 h7h8 f5f6 h8h7 g5g7
39,mate,white, e2e3 e7e6 d2d4 d7d6 f1d3 c7c6 g1f3 f8e7 b1c3 g8f6 c1d2 c8d7 d1e2 c6c5 d4c5 d6c5 e1g1 b7b6 f1e1 d7c6 e3e4 e8g8 e4e5 f6d5 c3d5 d8d5 d3c4 d5d7 a1d1 d7b7 d2g5 f8e8 g5e7 e8e7 d1d8 e7e8 e1d1 c6d5 d8e8
31,mate,white, e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 b1c3 f8c5 e1g1 e8g8 d2d3 f6e8 c1g5 e8f6 c3d5 h7h6 d5f6 g7f6 g5h6 f8e8 f3e1 d7d6 d1h5 e8e7 e1f3 c8e6 c4e6 e7e6 h5g4 g8h8 g4g7
66,mate,black, e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 b1c3 f8c5 e1g1 e8g8 f3e1 f6e8 d1f3 d8g5 d2d4 g5g6 d4c5 c6d4 f3d1 d7d6 g2g3 c8h3 e1f3 h3f1 d1f1 d4f3 g1g2 f3h4 g2h1 h4f3 c3d5 g6e6 d5c7 e6c8 c7a8 c8a8 c5d6 e8d6 c4e2 f3d4 e2d3 a8c8 c2c3 d4e6 f1e1 d6c4 d3c4 c8c4 b2b3 c4c6 c1a3 f8d8 a3e7 d8d7 e7a3 e6g5 e1d2 d7d2 h1g2 c6e4 g2f1 e4e2 f1g2 e2f2 g2h1 f2h2
69,mate,white, d2d4 d7d5 b1c3 g8f6 c1f4 c8f5 g1f3 e7e6 e2e3 f8e7 f1b5 c7c6 b5d3 f5d3 d1d3 e8g8 f4g5 f6g4 g5e7 d8e7 e1g1 e7g5 h2h3 g5f6 h3g4 f6h6 c3a4 b7b5 a4c5 g8h8 c5b7 g7g6 b7d6 b8a6 f3e5 h8g8 d6f7 f8f7 e5f7 g8f7 f2f4 g6g5 f4g5 f7g7 g5h6 g7h6 f1f6 h6g7 g4g5 h7h6 d3g6 g7h8 g6h6 h8g8 f6e6 g8f7 h6f6 f7g8 e6e8 a8e8 f6g6 g8f8 g6h6 f8g8 g5g6 a6b4 a1f1 b4c2 h6h7
54,mate,black, d2d4 d7d5 b1c3 g8f6 g1f3 b8c6 e2e3 c8f5 h2h4 e7e6 g2g3 f8b4 a2a3 b4c3 b2c3 f6e4 h1h2 e4c3 d1d2 c3e4 d2e2 e4c3 e2d2 c3e4 d2d3 e4g5 d3b5 g5f3 e1d1 f3h2 f1d3 f5g4 d1d2 h2f3 d2c3 a7a6 b5b7 d8b8 b7c6 e8d8 d3a6 e6e5 a6b5 e5d4 c3b3 d4e3 c6d7 g4d7 b3b4 b8b5 b4c3 b5c4 c3b2 a8b8
